V1	V2	V3	V4	V5	V6	V7
GGB73496_SGB47079	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__GGB73496	s__GGB73496_SGB47079
Propionibacterium_acidifaciens	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionibacterium	s__Propionibacterium_acidifaciens
GGB34797_SGB14321	k__Bacteria	p__Actinobacteria	c__CFGB12107	o__OFGB12107	f__FGB12107	g__GGB34797	s__GGB34797_SGB14321
GGB34797_SGB14322	k__Bacteria	p__Actinobacteria	c__CFGB12107	o__OFGB12107	f__FGB12107	g__GGB34797	s__GGB34797_SGB14322
GGB8965_SGB13825	k__Bacteria	p__Actinobacteria	c__CFGB2801	o__OFGB2801	f__FGB2801	g__GGB8965	s__GGB8965_SGB13825
GGB9355_SGB14328	k__Bacteria	p__Actinobacteria	c__CFGB2987	o__OFGB2987	f__FGB2987	g__GGB9355	s__GGB9355_SGB14328
GGB9357_SGB14330	k__Bacteria	p__Actinobacteria	c__CFGB2987	o__OFGB2987	f__FGB2987	g__GGB9357	s__GGB9357_SGB14330
GGB9359_SGB14334	k__Bacteria	p__Actinobacteria	c__CFGB2987	o__OFGB2987	f__FGB2987	g__GGB9359	s__GGB9359_SGB14334
GGB9361_SGB14336	k__Bacteria	p__Actinobacteria	c__CFGB2987	o__OFGB2987	f__FGB2987	g__GGB9361	s__GGB9361_SGB14336
GGB9411_SGB14764	k__Bacteria	p__Actinobacteria	c__CFGB2992	o__OFGB2992	f__FGB2992	g__GGB9411	s__GGB9411_SGB14764
GGB9421_SGB14789	k__Bacteria	p__Actinobacteria	c__CFGB76749	o__OFGB76749	f__FGB76749	g__GGB9421	s__GGB9421_SGB14789
GGB37167_SGB62963	k__Bacteria	p__Actinobacteria	c__CFGB9287	o__OFGB9287	f__FGB9287	g__GGB37167	s__GGB37167_SGB62963
Atopobium_deltae	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium_deltae
Atopobium_massiliense	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium_massiliense
Atopobium_minutum	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium_minutum
Atopobium_sp_oral_taxon_416	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium_sp_oral_taxon_416
Atopobium_sp_oral_taxon_810	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	s__Atopobium_sp_oral_taxon_810
GGB9101_SGB14033	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__GGB9101	s__GGB9101_SGB14033
GGB9106_SGB14039	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__GGB9106	s__GGB9106_SGB14039
GGB9106_SGB54309	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__GGB9106	s__GGB9106_SGB54309
Lancefieldella_parvula	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella	s__Lancefieldella_parvula
Lancefieldella_rimae	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Lancefieldella	s__Lancefieldella_rimae
Olsenella_phocaeensis	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_phocaeensis
Olsenella_profusa	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_profusa
Olsenella_sp_AF16_14LB	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_sp_AF16_14LB
Olsenella_sp_KGMB02461	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_sp_KGMB02461
Olsenella_sp_SW781	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_sp_SW781
Olsenella_sp_oral_taxon_807	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_sp_oral_taxon_807
Olsenella_uli	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella	s__Olsenella_uli
Parafannyhessea_umbonata	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Parafannyhessea	s__Parafannyhessea_umbonata
